[2026-03-17T21:03:58.123Z] GET http://localhost:8080/ → pending (?ms, ?B)
[2026-03-17T21:06:38.236Z] GET http://10.255.255.254:8080/ → pending (?ms, ?B)
[2026-03-17T21:08:34.879Z] GET http://172.18.224.1:8080/ → pending (?ms, ?B)
[2026-03-17T21:13:25.348Z] GET http://localhost:8080/ → 403 (25ms, ?B)
[2026-03-17T21:14:17.300Z] GET http://localhost:8080/ → 403 (6ms, ?B)
[2026-03-17T21:14:17.390Z] POST http://localhost:8080/auth/login → 403 (23ms, ?B)
[2026-03-17T21:14:22.658Z] POST http://localhost:8080/auth/login → 403 (3ms, ?B)
[2026-03-17T21:34:25.478Z] GET http://localhost:8080/ → 403 (5ms, ?B)
[2026-03-17T21:35:35.882Z] GET http://localhost:8080/ → 403 (5ms, ?B)
[2026-03-17T21:35:36.013Z] POST http://localhost:8080/api/auth/register → pending (?ms, ?B)
[2026-03-17T21:40:52.596Z] GET http://localhost:8080/ → 403 (7ms, ?B)
